age,indus,indus_yard_owner,indus_yard_manager,indus_ft_groom,indus_pt_groom,indus_pt_ride_train,indus_ft_ride_train,indus_instructor,indus_indus_prof,indus_lecturer,indus_committee,indus_retail,blank,indus_open,prof_farrier,prof_edt,prof_physio,prof_alt_therapy,prof_saddler,prof_nutritionist,prof_eq_vet,prof_eq_vn,prof_vet,prof_vn,prof_open,yrs,org,org_bhs_scot,org_bhs,org_pc,org_breed_assoc,org_bs,org_bs_duplicate,org_be,org_bd,org_bsha,org_serc,org_rda,org_bds,org_rc,org_open,qual,qual_bhs1_2,qual_bhs3_4,qual_bhs_prof,qual_pc_a,qual_pc_bc,qual_pc_de,qual_nc_horse,qual_hnc_eq,qual_hnd_eq,qual_svq_3,qual_svq_1_2,qual_ma,qual_dipwcf,qual_ntq_sadd,qual_ug_eq,qual_pg_eq,qual_vn_qual,qual_vet_qual,qual_open,conf_pastureman,conf_herdman,conf_turnoutroutine,conf_typepf,conf_amountpf,conf_typef,conf_amountf,conf_rug,bcs_monitor,bcs_how,bcs_how_open,bcs_by_prof,wgt_monitor,wgt_how,wgt_summer,wgt_autumn,wgt_winter,wgt_spring,pres_forage_spring_sum,pres_forage_aut_wint,pres_forage_choice,pres_forage_lam,pres_forage_ems,pres_forage_weight,pres_forage_colic,pres_forage_egus,pres_forage_resp,pres_forage_yard_availability,pres_forage_region_availability,pres_forage_cost,pres_forage_open,pres_forage_feed,pres_forage_prefer_other,pres_forage_pref_same_fed,pres_forage_analysis,pres_forage_analysis_aware,feed_bal,feed_bal_reason_forage,feed_bal_reason_boost,feed_bal_reason_conc,feed_bal_reason_replace,feed_bal_reason_cal,feed_bal_reason_energy,feed_bal_reason_munch,feed_bal_reason_open,exercise_imp,conf_rec_lam,conf_rec_obesity,conf_rec_ems,conf_rec_colic,conf_rec_ppid,conf_rec_loc
41-60,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Equine hair mineral analysis ,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Body condition scoring using a 1-5 scale system,Weight tape and general look of them ,No,Occasionally,Weighbridge,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,Sometimes soaked hay if they get too fat,No,No,Yes,Yes,No,No,No,No,No,No,No,For nutritional content,"Also maintaining fitness for their discipline, managing weight and enjoyment",5,5,3,5,4,5
18-25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment only,NA,No,Weekly,Tape measure,Aim to encourage weight loss,Aim to encourage weight gain,Aim to maintain weight,Aim to encourage weight loss,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Mixture of hay and haylage,NA,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Maintaining fitness for their discipline,2,5,1,4,1,4
Over 60,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Dressage Judge,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Neutral,A little,A little,Fairly confident,Very confident,Very confident,Very confident,Occasionally,Other,Weight tape,No,Occasionally,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Mixture of hay and haylage,NA,Yes,Don't know,Yes,Yes,Yes,No,No,No,No,No,No,No,Managing weight,4,5,4,4,4,5
18-25,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Veterinary student ,No,No,No,No,No,No,No,No,No,No,No,04-Sep,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Very confident,Neutral,Very confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Very confident,Daily,Body condition scoring using a 1-5 scale system,NA,Yes,Daily,Tape measure,Aim to maintain weight,Aim to encourage weight gain,Aim to encourage weight loss,Aim to maintain weight,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,3,4,4,5
18-25,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,01-Mar,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Fairly confident,Fairly confident,Neutral,Neutral,Neutral,Fairly confident,Fairly confident,Fairly confident,Weekly,Body condition scoring using a 1-5 scale system,NA,Yes,Weekly,Tape measure,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,No,No,No,No,No,No,No,No,No,No,No,No,No,None- my horse does not receive additional forage,NA,No,No,No,No,No,No,No,No,No,No,No,No,Maintaining fitness for their discipline,5,5,5,5,4,5
18-25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,A little,A little,A little,Neutral,Neutral,Neutral,Neutral,A little,Occasionally,Estimation through visual assessment and feeling the horse's body,NA,Yes,Never,NA,Aim to maintain weight,Aim to encourage weight gain,Aim to maintain weight,Aim to encourage weight loss,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,Managing weight,2,3,1,4,1,3
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Daily,Estimation through visual assessment only,NA,Yes,Never,NA,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight gain,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,4,4,1,4,1,4
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Body condition scoring using a 1-5 scale system,Weight tape,Yes,Daily,Other,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Soaked hay,NA,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,5,5,3,5
41-60,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Body condition scoring using a 1-5 scale system,And weighbridge & calculation ,Yes,Daily,Other,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,Aim to encourage weight loss,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Haylage,NA,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Maintaining fitness for their discipline,5,5,5,5,5,5
41-60,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Riding for the disabled volunteer ,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,Yes,Daily,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Relieving boredom / providing stimulation,4,5,2,4,2,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Body condition scoring using a 1-9 scale system,NA,No,Monthly,Tape measure,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,5,5,5,5
Under 18,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Neutral,Fairly confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Monthly,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,5,5,5,5
41-60,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Equine holiday care business,No,No,No,No,No,No,No,No,No,No,No,Oct-19,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Estimation through visual assessment and feeling the horse's body,NA,Yes,Weekly,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Mixture of hay and haylage,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,Training & development,4,4,1,4,2,4
41-60,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Work in equine vet practice ,No,No,No,No,No,No,No,No,No,No,No,?30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Daily,Estimation through visual assessment only,NA,Yes,Never,NA,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Forage substitute (E.g. short chop fibre ),NA,Yes,Don't know,Yes,No,No,No,No,No,No,No,No,No,Enjoyment / hobby,1,1,1,1,1,1
18-25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Very confident,Weekly,Estimation through visual assessment and feeling the horse's body,NA,Yes,Weekly,Visual assessment,Aim to encourage weight loss,Aim to maintain weight,Aim to encourage weight gain,Aim to encourage weight loss,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Mixture of hay and haylage,NA,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Managing weight,4,5,5,3,5,5
18-25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Fairly confident,Very confident,Neutral,Fairly confident,Fairly confident,Fairly confident,Neutral,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Occasionally,Visual assessment,Aim to encourage weight loss,Aim to maintain weight,Aim to encourage weight gain,Aim to encourage weight loss,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,Don't know,No,No,No,No,No,No,No,No,No,No,Managing weight,4,4,2,4,2,4
Over 60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Very confident,Daily,"Measurement of heart-girth, belly-girth and neck",NA,Yes,Daily,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Soaked hay,NA,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Maintaining fitness for their discipline,5,5,5,5,5,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,Yes,Annually,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Enjoyment / hobby,5,5,3,5,3,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Daily,Visual assessment,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Mixture of hay and haylage,NA,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Maintaining fitness for their discipline,5,5,3,5,5,5
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Fairly confident,Fairly confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,"Measurement of heart-girth, belly-girth and neck",NA,Yes,Weekly,Estimation through calculation,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Haylage,NA,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,4,5,3,4,3,4
Over 60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Estimation through visual assessment and feeling the horse's body,NA,Yes,Monthly,Visual assessment,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Soaked hay,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Enjoyment / hobby,5,5,5,4,3,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Fairly confident,Fairly confident,Very confident,Fairly confident,Fairly confident,Fairly confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Daily,Visual assessment,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Training & development,5,4,3,5,3,5
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Other,Body score and take measurements with a tape. ,No,Weekly,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Steamed hay,NA,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Training & development,5,5,5,5,3,5
Over 60,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Dressage judge,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,Yes,Daily,Weighbridge,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Haylage,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Maintaining fitness for their discipline,5,5,4,5,4,5
18-25,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,01-Mar,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Fairly confident,A little,A little,Very confident,Very confident,Very confident,Weekly,Body condition scoring using a 1-5 scale system,NA,Yes,Annually,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight gain,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Soaked hay,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Enjoyment / hobby,5,5,2,5,3,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,National Pony Society,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,A little,A little,A little,A little,A little,A little,A little,A little,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Annually,Weighbridge,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,Don't know,Yes,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,2,4,2,2,1,4
Over 60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Neutral,Neutral,A little,A little,A little,Neutral,Neutral,Neutral,Occasionally,Estimation through visual assessment and feeling the horse's body,NA,No,Occasionally,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,My ponies are retired,4,4,3,5,3,4
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Fairly confident,Fairly confident,Fairly confident,Very confident,Daily,Estimation through visual assessment only,weight tape,No,Monthly,Tape measure,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Soaked hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Maintaining fitness for their discipline,4,5,1,3,3,5
18-25,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,01-Mar,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Fairly confident,Fairly confident,Very confident,Fairly confident,Fairly confident,Very confident,Monthly,Estimation through visual assessment and feeling the horse's body,NA,No,Occasionally,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Relieving boredom / providing stimulation,3,5,2,4,2,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Highland pony Society,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Weekly,Body condition scoring using a 1-5 scale system,NA,No,Monthly,Tape measure,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Steamed hay,NA,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Relieving boredom / providing stimulation,4,4,3,4,3,4
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Fairly confident,Fairly confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Daily,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to maintain weight,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Maintaining fitness for their discipline,4,5,3,4,3,5
41-60,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Fairly confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Taking measurements and using an online body condition calculator,NA,Yes,Weekly,Other,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Soaked hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Managing weight,5,5,1,5,3,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Fairly confident,Fairly confident,Fairly confident,Neutral,Very confident,Occasionally,Estimation through visual assessment and feeling the horse's body,NA,No,Never,NA,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,4,5,5,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,World Horse Welfare ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Very confident,Weekly,Body condition scoring using a 1-9 scale system,NA,No,Weekly,Other,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,My horses aren’t ridden or in work,5,5,4,5,5,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,A little,A little,Neutral,A little,A little,A little,A little,A little,Weekly,Body condition scoring using a 1-9 scale system,NA,Yes,Weekly,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,bonding,Relieving boredom / providing stimulation,5,5,4,5,3,5
Over 60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Other,Weight tape ,No,Weekly,Tape measure,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Steamed hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,5,5,5,5
